"","gls.NOAR.ltrendweak","gls.NOAR.ltrendmed","gls.NOAR.ltrendstrong","gls.NOAR.notrend","gls.medAR.ltrendweak","gls.medAR.ltrendmed","gls.medAR.ltrendstrong","gls.medAR.notrend","gls.strongAR.ltrendweak","gls.strongAR.ltrendmed","gls.strongAR.ltrendstrong","gls.strongAR.notrend"
"1",5,6,10,4,1,3,9,5,6,10,1,4
"2",6,6,10,4,1,3,9,6,5,10,1,4
"3",6,6,10,4,1,3,10,8,4,10,1,5
"4",6,6,9,4,2,4,10,9,3,10,1,6
"5",6,6,8,4,2,4,10,10,2,10,1,8
"6",6,6,5,4,3,5,10,10,1,10,1,9
"7",6,6,3,5,5,6,10,10,1,10,1,9
"8",6,5,2,5,6,7,10,10,1,10,1,9
"9",6,5,2,6,7,7,10,10,1,9,1,9
"10",6,5,1,6,7,7,9,10,1,5,1,9
"11",6,3,1,4,3,8,2,3,7,1,9,10
"12",5,3,1,5,4,9,2,3,7,1,9,10
"13",3,2,1,5,4,10,3,3,6,1,9,10
"14",1,2,2,6,5,10,3,3,5,1,10,10
"15",1,1,2,7,6,10,4,3,4,1,10,10
"16",1,1,4,7,8,10,6,3,3,1,9,10
"17",1,1,5,8,8,10,7,4,2,2,9,10
"18",1,1,7,8,9,10,8,4,2,5,8,10
"19",1,2,7,8,9,10,8,5,2,7,7,10
"20",1,2,8,8,9,10,8,5,2,9,7,10
