"","replicate","var","timeseries length","Trend strength","AR strength","method","Value"
"102",3,"p","30","no trend","strong AR","gls",0.00629722632216616
"103",3,"p","30","strong trend","medium AR","gls",8.00703001190728e-05
"104",3,"p","30","strong trend","no AR","gls",3.1672084246993e-13
"105",3,"p","30","strong trend","strong AR","gls",5.12004234233271e-05
"106",3,"p","30","weak trend","medium AR","gls",0.102495672827501
"107",3,"p","30","weak trend","no AR","gls",0.15501026543743
"108",3,"p","30","weak trend","strong AR","gls",0.00492375942574704
"109",4,"p","10","medium trend","medium AR","gls",0.54587050872633
"110",4,"p","10","medium trend","no AR","gls",0.104088688402078
"111",4,"p","10","medium trend","strong AR","gls",0.238473539878769
"112",4,"p","10","no trend","medium AR","gls",0.935350449495573
"113",4,"p","10","no trend","no AR","gls",0.637940366180655
"114",4,"p","10","no trend","strong AR","gls",0.672313217201266
"115",4,"p","10","strong trend","medium AR","gls",0.076158868661009
"116",4,"p","10","strong trend","no AR","gls",0.00142634672895911
"117",4,"p","10","strong trend","strong AR","gls",0.0177500316248832
"118",4,"p","10","weak trend","medium AR","gls",0.978460515349291
"119",4,"p","10","weak trend","no AR","gls",0.570564720464396
"120",4,"p","10","weak trend","strong AR","gls",0.628206452881588
"121",4,"p","20","medium trend","medium AR","gls",0.232077507041168
"122",4,"p","20","medium trend","no AR","gls",0.0186515627456617
"123",4,"p","20","medium trend","strong AR","gls",0.208937108643383
"124",4,"p","20","no trend","medium AR","gls",0.665389335916991
"125",4,"p","20","no trend","no AR","gls",0.73672106402604
"126",4,"p","20","no trend","strong AR","gls",0.00588024311458139
"127",4,"p","20","strong trend","medium AR","gls",0.000258075809502926
"128",4,"p","20","strong trend","no AR","gls",7.58144038662538e-08
"129",4,"p","20","strong trend","strong AR","gls",0.0200253070804819
"130",4,"p","20","weak trend","medium AR","gls",0.76129888670415
"131",4,"p","20","weak trend","no AR","gls",0.910127971527987
"132",4,"p","20","weak trend","strong AR","gls",0.680352821999761
"133",4,"p","30","medium trend","medium AR","gls",0.0275176361375967
"134",4,"p","30","medium trend","no AR","gls",4.26462537594866e-07
"135",4,"p","30","medium trend","strong AR","gls",0.108216224478782
"136",4,"p","30","no trend","medium AR","gls",0.548331326015495
"137",4,"p","30","no trend","no AR","gls",0.0421498005992414
"138",4,"p","30","no trend","strong AR","gls",0.000257174617217468
"139",4,"p","30","strong trend","medium AR","gls",9.2565751994174e-09
"140",4,"p","30","strong trend","no AR","gls",3.67156177902442e-15
"141",4,"p","30","strong trend","strong AR","gls",0.83943405531574
"142",4,"p","30","weak trend","medium AR","gls",0.708180967444279
"143",4,"p","30","weak trend","no AR","gls",0.0199111354075207
"144",4,"p","30","weak trend","strong AR","gls",0.505619563011372
"145",5,"p","10","medium trend","medium AR","gls",0.000680253225216876
"146",5,"p","10","medium trend","no AR","gls",0.96969703814636
"147",5,"p","10","medium trend","strong AR","gls",2.23157559261367e-06
"148",5,"p","10","no trend","medium AR","gls",0.00559756505139601
"149",5,"p","10","no trend","no AR","gls",0.402991705201607
"150",5,"p","10","no trend","strong AR","gls",5.50859299191031e-07
"151",5,"p","10","strong trend","medium AR","gls",2.19336069402603e-05
"152",5,"p","10","strong trend","no AR","gls",0.107512148622933
"153",5,"p","10","strong trend","strong AR","gls",5.04831123424071e-05
"154",5,"p","10","weak trend","medium AR","gls",0.00471935299800791
"155",5,"p","10","weak trend","no AR","gls",0.441504984630634
"156",5,"p","10","weak trend","strong AR","gls",6.11409438098237e-07
"157",5,"p","20","medium trend","medium AR","gls",0.017432250037117
"158",5,"p","20","medium trend","no AR","gls",0.000278798657030787
"159",5,"p","20","medium trend","strong AR","gls",0.0799100653648429
"160",5,"p","20","no trend","medium AR","gls",0.666727800904973
"161",5,"p","20","no trend","no AR","gls",0.0812017442846321
"162",5,"p","20","no trend","strong AR","gls",0.0229820994757754
"163",5,"p","20","strong trend","medium AR","gls",1.40329411338355e-06
"164",5,"p","20","strong trend","no AR","gls",9.10934028253972e-09
"165",5,"p","20","strong trend","strong AR","gls",0.471844373448424
"166",5,"p","20","weak trend","medium AR","gls",0.551859072625523
"167",5,"p","20","weak trend","no AR","gls",0.0553190952287356
"168",5,"p","20","weak trend","strong AR","gls",0.962876830844543
"169",5,"p","30","medium trend","medium AR","gls",0.00176193453895533
"170",5,"p","30","medium trend","no AR","gls",4.35869474334393e-05
"171",5,"p","30","medium trend","strong AR","gls",0.011198225562565
"172",5,"p","30","no trend","medium AR","gls",0.780137994181682
"173",5,"p","30","no trend","no AR","gls",0.291572612347022
"174",5,"p","30","no trend","strong AR","gls",0.352674582183456
"175",5,"p","30","strong trend","medium AR","gls",1.53295776505685e-11
"176",5,"p","30","strong trend","no AR","gls",8.46421931619628e-13
"177",5,"p","30","strong trend","strong AR","gls",0.000991377602086729
"178",5,"p","30","weak trend","medium AR","gls",0.992563997712236
"179",5,"p","30","weak trend","no AR","gls",0.182868562399274
"180",5,"p","30","weak trend","strong AR","gls",0.26281177239658
"181",6,"p","10","medium trend","medium AR","gls",0.0782530400338247
"182",6,"p","10","medium trend","no AR","gls",0.00165150864141922
"183",6,"p","10","medium trend","strong AR","gls",0.0031957241431092
"184",6,"p","10","no trend","medium AR","gls",0.00825965819768277
"185",6,"p","10","no trend","no AR","gls",0.00665879737500862
"186",6,"p","10","no trend","strong AR","gls",0.000444204008098529
"187",6,"p","10","strong trend","medium AR","gls",0.675930613567397
"188",6,"p","10","strong trend","no AR","gls",0.000146957972118466
"189",6,"p","10","strong trend","strong AR","gls",0.150539108413091
"190",6,"p","10","weak trend","medium AR","gls",0.00987287682489128
"191",6,"p","10","weak trend","no AR","gls",0.00595795923387441
"192",6,"p","10","weak trend","strong AR","gls",0.000515293885195883
"193",6,"p","20","medium trend","medium AR","gls",0.0484802454166814
"194",6,"p","20","medium trend","no AR","gls",0.026538651996865
"195",6,"p","20","medium trend","strong AR","gls",0.0426896981568876
"196",6,"p","20","no trend","medium AR","gls",0.297932467927499
"197",6,"p","20","no trend","no AR","gls",0.490618313353937
"198",6,"p","20","no trend","strong AR","gls",0.0171399268508729
"199",6,"p","20","strong trend","medium AR","gls",0.0040479834784131
"200",6,"p","20","strong trend","no AR","gls",1.56536276523966e-05
"201",6,"p","20","strong trend","strong AR","gls",0.450989661780151
"202",6,"p","20","weak trend","medium AR","gls",0.260414242763213
"203",6,"p","20","weak trend","no AR","gls",0.413915910516301
"204",6,"p","20","weak trend","strong AR","gls",0.0129402715328726
"205",6,"p","30","medium trend","medium AR","gls",0.254843064348886
"206",6,"p","30","medium trend","no AR","gls",5.68648889149445e-05
"207",6,"p","30","medium trend","strong AR","gls",0.219182679121464
"208",6,"p","30","no trend","medium AR","gls",0.589421824949663
"209",6,"p","30","no trend","no AR","gls",0.125952354731746
"210",6,"p","30","no trend","strong AR","gls",0.0282011306965103
"211",6,"p","30","strong trend","medium AR","gls",0.00498453469607618
"212",6,"p","30","strong trend","no AR","gls",1.23041360961233e-11
"213",6,"p","30","strong trend","strong AR","gls",0.273993755156718
"214",6,"p","30","weak trend","medium AR","gls",0.687178048622607
"215",6,"p","30","weak trend","no AR","gls",0.0791398531680594
"216",6,"p","30","weak trend","strong AR","gls",0.0327051220958174
"217",7,"p","10","medium trend","medium AR","gls",1.80363269877598e-06
"218",7,"p","10","medium trend","no AR","gls",0.110381535300734
"219",7,"p","10","medium trend","strong AR","gls",0.322427289105619
"220",7,"p","10","no trend","medium AR","gls",3.5674035167989e-06
"221",7,"p","10","no trend","no AR","gls",0.0269774356855238
"222",7,"p","10","no trend","strong AR","gls",0.973555542118352
"223",7,"p","10","strong trend","medium AR","gls",3.45901033420319e-07
"224",7,"p","10","strong trend","no AR","gls",0.834451807873876
"225",7,"p","10","strong trend","strong AR","gls",0.0135430845517681
"226",7,"p","10","weak trend","medium AR","gls",3.40729148798865e-06
"227",7,"p","10","weak trend","no AR","gls",0.0302300492281103
"228",7,"p","10","weak trend","strong AR","gls",0.912500013114016
"229",7,"p","20","medium trend","medium AR","gls",0.00167812804563007
"230",7,"p","20","medium trend","no AR","gls",0.139626645235739
"231",7,"p","20","medium trend","strong AR","gls",0.551157790365121
"232",7,"p","20","no trend","medium AR","gls",0.0228511677827599
"233",7,"p","20","no trend","no AR","gls",0.618281461330625
"234",7,"p","20","no trend","strong AR","gls",0.0444423042154797
"235",7,"p","20","strong trend","medium AR","gls",0.320677976352215
"236",7,"p","20","strong trend","no AR","gls",2.34778466072045e-05
"237",7,"p","20","strong trend","strong AR","gls",0.021340614695411
"238",7,"p","20","weak trend","medium AR","gls",0.103312259951584
"239",7,"p","20","weak trend","no AR","gls",0.732982970814355
"240",7,"p","20","weak trend","strong AR","gls",0.0534419178441018
"241",7,"p","30","medium trend","medium AR","gls",0.416108057629652
"242",7,"p","30","medium trend","no AR","gls",0.000479459702781293
"243",7,"p","30","medium trend","strong AR","gls",0.159386857174254
"244",7,"p","30","no trend","medium AR","gls",0.915563361007579
"245",7,"p","30","no trend","no AR","gls",0.548883968831399
"246",7,"p","30","no trend","strong AR","gls",0.708155192116589
"247",7,"p","30","strong trend","medium AR","gls",0.0293106769963286
"248",7,"p","30","strong trend","no AR","gls",2.94567312744845e-11
"249",7,"p","30","strong trend","strong AR","gls",0.00245678053815698
"250",7,"p","30","weak trend","medium AR","gls",0.952043775020848
"251",7,"p","30","weak trend","no AR","gls",0.393606459843278
"252",7,"p","30","weak trend","strong AR","gls",0.812475974879177
"253",8,"p","10","medium trend","medium AR","gls",0.00355334808292651
"254",8,"p","10","medium trend","no AR","gls",0.000475389137645042
"255",8,"p","10","medium trend","strong AR","gls",0.101330513021979
"256",8,"p","10","no trend","medium AR","gls",0.0177246212292405
"257",8,"p","10","no trend","no AR","gls",0.00239175485288886
"258",8,"p","10","no trend","strong AR","gls",0.404903998144423
"259",8,"p","10","strong trend","medium AR","gls",0.000213320597007846
"260",8,"p","10","strong trend","no AR","gls",3.18969227153007e-05
"261",8,"p","10","strong trend","strong AR","gls",0.00465037058230552
"262",8,"p","10","weak trend","medium AR","gls",0.0156144656413364
"263",8,"p","10","weak trend","no AR","gls",0.00209864795016977
"264",8,"p","10","weak trend","strong AR","gls",0.368238361656215
"265",8,"p","20","medium trend","medium AR","gls",0.972526521284915
"266",8,"p","20","medium trend","no AR","gls",0.010275320138897
"267",8,"p","20","medium trend","strong AR","gls",9.55806611428843e-05
"268",8,"p","20","no trend","medium AR","gls",0.256341678418939
"269",8,"p","20","no trend","no AR","gls",0.321544135431368
"270",8,"p","20","no trend","strong AR","gls",0.0556072139287797
"271",8,"p","20","strong trend","medium AR","gls",0.0744770058894655
"272",8,"p","20","strong trend","no AR","gls",3.46830661932608e-06
"273",8,"p","20","strong trend","strong AR","gls",1.69705659912556e-09
"274",8,"p","20","weak trend","medium AR","gls",0.290657233367195
"275",8,"p","20","weak trend","no AR","gls",0.260458997081385
"276",8,"p","20","weak trend","strong AR","gls",0.0357759655782264
"277",8,"p","30","medium trend","medium AR","gls",0.157377030727508
"278",8,"p","30","medium trend","no AR","gls",0.00695598394999624
"279",8,"p","30","medium trend","strong AR","gls",0.230846255798233
"280",8,"p","30","no trend","medium AR","gls",0.42357285269401
"281",8,"p","30","no trend","no AR","gls",0.711278689046576
"282",8,"p","30","no trend","strong AR","gls",0.533867746109117
"283",8,"p","30","strong trend","medium AR","gls",0.000539166656545901
"284",8,"p","30","strong trend","no AR","gls",3.97999271431605e-10
"285",8,"p","30","strong trend","strong AR","gls",0.0025182922589146
"286",8,"p","30","weak trend","medium AR","gls",0.528901821733748
"287",8,"p","30","weak trend","no AR","gls",0.907430911866078
"288",8,"p","30","weak trend","strong AR","gls",0.618911064002939
"289",9,"p","10","medium trend","medium AR","gls",0.0100679901003566
"290",9,"p","10","medium trend","no AR","gls",0.871130788109357
"291",9,"p","10","medium trend","strong AR","gls",0.155054689141731
